Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Latitude,Longitude,Description,Activities,Nearby Hotels,Food Options,Kid_Friendly,Activity_Type
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,28.6129,77.2295,Iconic war memorial dedicated to Indian soldiers,Photography|Evening Walks|Picnics,The Imperial|Taj Palace,Street Food|Ice Cream,Yes,Historical
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,28.5933,77.2507,UNESCO World Heritage Site and Mughal architecture marvel,Photography|Heritage Walk|Garden Visit,Oberoi Maidens|The Lodhi,Cafe|Restaurant,Yes,Historical
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,28.6127,77.2773,Magnificent Hindu temple with cultural exhibitions,Light Show|Boat Ride|Exhibition,Radisson Blu|Crowne Plaza,Temple Food Court|Vegetarian,Yes,Religious
Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,28.6562,77.241,Historic Mughal fort and UNESCO World Heritage Site,Sound & Light Show|Museum Visit,Hotel Broadway|Maidens Hotel,Mughlai Cuisine|Street Food,Yes,Historical
Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,28.5244,77.1855,Tallest brick minaret in the world,Photography|Heritage Walk,The Qutab Hotel|ITC Maurya,Cafe|Fine Dining,Yes,Historical
Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,18.922,72.8347,Iconic arch monument overlooking the Arabian Sea,Boat Rides|Photography|Street Shopping,Taj Mahal Palace|The Oberoi,Seafood|Street Food,Yes,Historical
Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,,Scenic,Yes,1.5,Evening,18.9432,72.8236,Scenic boulevard along the coast,Evening Walks|Jogging|Sunset Views,Hotel Marine Plaza|Trident,Chaat|Ice Cream,Yes,Cultural
Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,,Historical,Yes,0.35,All,18.9633,72.9315,Ancient rock-cut cave temples on Elephanta Island,Ferry Ride|Cave Exploration|Photography,Hotel Sahil|Sea Green,Local Snacks|Seafood,Yes,Historical
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,12.9988,77.5926,Tudor-style palace with beautiful architecture,Palace Tour|Photography|Gardens,The Oberoi|ITC Gardenia,Multi-cuisine|Cafe,Yes,Historical
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,12.9507,77.5848,Historic botanical garden with diverse flora,Nature Walks|Photography|Flower Shows,Taj West End|The Leela Palace,Garden Cafe|Snacks,Yes,Nature
Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,,Nature,Yes,1.32,Morning,12.9762,77.5929,Large public park in the heart of Bangalore,Jogging|Cycling|Picnics,JW Marriott|Shangri-La,Food Trucks|Cafe,Yes,Relaxation
Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,17.3616,78.4747,Iconic monument and mosque in the old city,Shopping|Photography|Heritage Walk,Taj Falaknuma|ITC Kakatiya,Hyderabadi Biryani|Street Food,Yes,Historical
Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,,Historical,Yes,1.2,Morning,17.3833,78.4011,Historic fortress with sound and light show,Fort Exploration|Sound & Light Show,Taj Krishna|Novotel,Local Cuisine|Cafe,Yes,Historical
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,17.2543,78.6808,World's largest film studio complex,Studio Tours|Shows|Theme Parks,Ramoji Film City Hotel|Sitara,Multi-cuisine|Food Court,Yes,Cultural
Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.26,Evening,15.545,73.7551,Popular beach known for water sports,Swimming|Water Sports|Beach Shacks,Taj Fort Aguada|Lemon Tree,Seafood|Beach Shacks,Yes,Relaxation
Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,15.5008,73.9117,UNESCO World Heritage church with St. Francis Xavier's relics,Church Visit|Photography|Heritage Walk,The Zuri|Park Hyatt,Goan Cuisine|Cafe,Yes,Religious
Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,15.4909,73.7732,17th-century Portuguese fort with lighthouse,Fort Exploration|Beach Visit|Photography,Taj Fort Aguada|Vivanta,Multi-cuisine|Cafe,Yes,Historical
Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,15.3144,74.3144,Four-tiered waterfall on the Mandovi River,Trekking|Swimming|Jeep Safari,Wildernest|Dudhsagar Spa Resort,Local Food|Packed Lunch,Yes,Nature
Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,Yes,,Historical,Yes,0.35,Morning,23.0606,72.5797,Mahatma Gandhi's residence during independence movement,Museum Visit|Heritage Walk|Photography,The House of MG|Hyatt Regency,Gujarati Thali|Cafe,Yes,Historical
Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,No,Monday,Historical,Yes,0.67,All,21.838,73.7191,World's tallest statue dedicated to Sardar Patel,Statue Visit|Valley of Flowers|Laser Show,Statue of Unity Tent City|Narmada Resort,Multi-cuisine|Food Court,Yes,Historical
Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,Yes,,Architectural,Yes,1.3,Morning,26.9239,75.8267,Iconic palace with 953 windows,Photography|Heritage Walk|Museum,Rambagh Palace|Taj Jai Mahal,Rajasthani Cuisine|Cafe,Yes,Historical
Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,Yes,,Historical,Yes,1.5,All,26.9855,75.8513,Majestic fort with elephant rides,Elephant Ride|Light Show|Palace Tour,The Oberoi Rajvilas|Samode Haveli,Rajasthani Thali|Fine Dining,Yes,Historical
Northern,Rajasthan,Udaipur,City Palace,Palace,1559,2.0,4.4,300,Yes,,Historical,Yes,0.51,All,24.5761,73.6833,Grand palace complex overlooking Lake Pichola,Palace Tour|Boat Ride|Museum,Taj Lake Palace|The Oberoi Udaivilas,Royal Cuisine|Rooftop Dining,Yes,Historical
Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,No,,Historical,Yes,0.56,All,26.9157,70.9083,Living fort with shops and residences,Camel Safari|Desert Camp|Fort Tour,Suryagarh|Fort Rajwada,Rajasthani Food|Desert Dining,Yes,Historical
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,Yes,,Spiritual,Yes,1.9,All,31.62,74.8765,Holiest Sikh shrine with golden architecture,Temple Visit|Langar|Photography,Taj Swarna|Hyatt Regency,Langar|Punjabi Cuisine,Yes,Cultural
Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,Yes,,Cultural,Yes,0.17,Evening,31.6044,74.5736,India-Pakistan border with flag ceremony,Flag Ceremony|Photography,Ranjit's Svaasa|Ramada,Punjabi Food|Dhaba,Yes,Cultural
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,Unknown,2.0,4.3,0,No,,Nature,Yes,0.3,All,10.0889,77.0595,Picturesque tea plantations in the hills,Tea Factory Visit|Trekking|Photography,Windermere Estate|The Panoramic Getaway,Kerala Cuisine|Cafe,Yes,Nature
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.11,All,9.4981,76.3388,Serene beach with lighthouse,Beach Walk|Houseboat Ride|Swimming,Ramada Resort|Lemon Tree,Seafood|Kerala Cuisine,Yes,Relaxation
Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,Yes,,Historical,Yes,0.1,All,9.9658,76.2429,Historic area with colonial architecture,Heritage Walk|Chinese Fishing Nets|Art Galleries,Brunton Boatyard|Old Harbour Hotel,Seafood|Multi-cuisine,Yes,Historical
Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,No,,Wildlife,Yes,0.14,All,9.465,77.16,Wildlife sanctuary known for elephants and tigers,Boat Safari|Trekking|Spice Plantation,Spice Village|Cardamom County,Kerala Cuisine|Organic Food,Yes,Relaxation
Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,Yes,,Historical,Yes,2.5,All,12.3052,76.6552,Magnificent Indo-Saracenic palace,Palace Tour|Light Show|Museum,Lalitha Mahal Palace|Radisson Blu,Mysore Cuisine|Fine Dining,Yes,Historical
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,Unknown,3.0,4.7,0,No,,Historical,Yes,0.05,All,15.335,76.46,UNESCO World Heritage Site with ancient ruins,Temple Visit|Boulder Climbing|Photography,Evolve Back|Heritage Resort,South Indian|Cafe,Yes,Historical
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,Unknown,1.0,4.1,0,No,,Nature,Yes,0.03,Morning,12.4244,75.7382,Scenic waterfall surrounded by coffee plantations,Waterfall Visit|Photography|Nature Walk,The Tamara|Orange County,Coorg Cuisine|Cafe,Yes,Nature
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,22.5448,88.3426,Iconic marble building and museum,Museum Visit|Garden Walk|Photography,The Oberoi Grand|ITC Sonar,Bengali Cuisine|Cafe,Yes,Historical
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,22.5851,88.3469,Iconic cantilever bridge over Hooghly River,Photography|River Cruise|Walking,The Lalit Great Eastern|Taj Bengal,Street Food|Bengali Sweets,Yes,Cultural
Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1.0,4.5,0,No,,Nature,Yes,0.025,All,27.041,88.2663,Famous viewpoint for sunrise over Kanchenjunga,Sunrise Viewing|Photography|Tea,Windamere Hotel|Mayfair,Tibetan Food|Cafe,Yes,Nature
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1.0,4.4,0,Yes,,Cultural,Yes,0.03,Morning,30.1167,78.3275,Iconic suspension bridge over the Ganges,River Rafting|Yoga|Temple Visit,Ananda in the Himalayas|Ganga Kinare,Sattvic Food|Cafe,Yes,Cultural
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,Unknown,1.0,4.5,0,Yes,,Religious,Yes,0.025,All,29.9457,78.1642,Sacred ghat on the Ganges for evening aarti,Ganga Aarti|Temple Visit|Holy Dip,Haveli Hari Ganga|Radisson Blu,North Indian|Street Food,Yes,Religious
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1.0,4.7,0,Yes,,Recreational,Yes,0.03,Morning,31.1048,77.1734,Open space in the heart of Shimla,Shopping|Photography|Walking,Wildflower Hall|The Oberoi Cecil,Himachali Cuisine|Cafe,Yes,Cultural
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2.0,4.1,0,No,,Adventure,Yes,0.05,Morning,32.308,77.15,Adventure sports hub in the mountains,Paragliding|Skiing|Zorbing,The Himalayan|Manu Allaya,Himachali Food|Cafe,Yes,Adventure
Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2.0,4.6,0,Yes,,Nature,Yes,0.15,Morning,34.1089,74.826,Scenic lake famous for houseboats and shikaras,Shikara Ride|Houseboat Stay|Photography,Vivanta Dal View|The Lalit Grand Palace,Kashmiri Wazwan|Kahwa,Yes,Relaxation
